OrgType,TeamSize,ClientVolume,ServiceModel,Specialization,Timeline,Features,Package,RecommendedSeats
Private Practice,51+,501-1000,High-volume intake,Trauma-informed,1-3 months,Affiliate integration,Community Access,60
Private Practice,6-15,501-1000,Mixed services,General,Unsure,Multidimensional tracking,Practice Plus,12
Private Practice,51+,100-500,Mixed services,Palliative/Complex,3-6 months,Real-time tracking,Community Access,50
Insurance Provider/EAS,51+,<100,Mixed services,Trauma-informed,1-3 months,Multidimensional tracking,Enterprise Access,50
Insurance Provider/EAS,6-15,501-1000,High-volume intake,General,Unsure,Multidimensional tracking,Enterprise Access,12
Private Practice,6-15,>1000,High-volume intake,Palliative/Complex,1-3 months,Affiliate integration,Community Access,15
Home Care/Group Home,51+,<100,High-volume intake,General,1-3 months,Multidimensional tracking,Community Access,50
Private Practice,3-5,<100,Group care,General,Unsure,Multidimensional tracking,Practice Plus,5
Private Practice,16-50,<100,Mixed services,General,3-6 months,Basic self-guided,Community Access,25
Insurance Provider/EAS,16-50,100-500,Group care,Oncology/Cardiology/Neurology,3-6 months,Multidimensional tracking,Enterprise Access,25
Insurance Provider/EAS,3-5,100-500,Mixed services,Palliative/Complex,3-6 months,Multidimensional tracking,Enterprise Access,5
Private Practice,16-50,<100,Group care,General,Unsure,Basic self-guided,Community Access,25
Insurance Provider/EAS,51+,>1000,Group care,Palliative/Complex,Unsure,Multidimensional tracking,Enterprise Access,75
Insurance Provider/EAS,51+,501-1000,1:1 therapy,General,6+ months,Basic self-guided,Enterprise Access,60
Public Health Provider,16-50,>1000,Mixed services,General,6+ months,Basic self-guided,Enterprise Care,37
Public Health Provider,6-15,<100,High-volume intake,General,6+ months,Real-time tracking,Enterprise Care,10
Insurance Provider/EAS,1-2,>1000,Mixed services,General,Unsure,Affiliate integration,Enterprise Access,3
Private Practice,51+,501-1000,Mixed services,Trauma-informed,6+ months,Affiliate integration,Community Access,60
Private Practice,51+,501-1000,Group care,Palliative/Complex,1-3 months,Real-time tracking,Community Access,60
Insurance Provider/EAS,6-15,<100,High-volume intake,Oncology/Cardiology/Neurology,3-6 months,Multidimensional tracking,Enterprise Access,10
Insurance Provider/EAS,1-2,>1000,1:1 therapy,Oncology/Cardiology/Neurology,3-6 months,Basic self-guided,Enterprise Access,3
Insurance Provider/EAS,51+,501-1000,High-volume intake,General,1-3 months,Multidimensional tracking,Enterprise Access,60
Private Practice,6-15,100-500,Mixed services,Palliative/Complex,1-3 months,Real-time tracking,Practice Plus,10
Private Practice,16-50,>1000,Mixed services,General,3-6 months,Real-time tracking,Community Access,37
Private Practice,3-5,501-1000,Mixed services,General,3-6 months,Basic self-guided,Fresh Start,6
Insurance Provider/EAS,6-15,100-500,1:1 therapy,Palliative/Complex,1-3 months,Affiliate integration,Enterprise Access,10
Insurance Provider/EAS,6-15,<100,Group care,General,6+ months,Real-time tracking,Enterprise Access,10
Private Practice,6-15,100-500,Mixed services,Oncology/Cardiology/Neurology,1-3 months,Multidimensional tracking,Practice Plus,10
Private Practice,1-2,100-500,Mixed services,General,6+ months,Real-time tracking,Practice Plus,2
Public Health Provider,51+,<100,Mixed services,General,1-3 months,Real-time tracking,Enterprise Care,50
